指标名称,2024年城市体检指标值,2025年城市体检指标值,指标评价标准,与2024年相比完成情况
建成区人口密度（万人/平方公里）,0.61,0.67,0.6≤X≤1,上升
城市生活污水集中收集率（%）,77.8,81.06,70≤X,上升
人均公共文化设施面积（平方米/人）,0.23,0.31,0.2≤X,上升
城市道路网密度（公里/平方公里）,5.21,8.68,8≤X,上升
当年各类保护对象增加数量（个）,0,22,—,上升
城市高峰期机动车平均速度（km/h）,50.7（快速路） 35.32（主干路）,54.44（快速路） 36.82（主干路）,30（快速路） 20（主干路）,上升
城中村改造完成率（%）,10.58,100,—,上升
老旧市政燃气管网年度改造完成率（%）,98.45,100,—,上升
城市消防站服务半径覆盖率（%）,18.91,20.59,—,上升
人均避难场所有效避难面积（平方米/人）,3.01,3.36,2,上升
城市信息模型（CIM）基础平台建设三维数据覆盖率（%）,77.15,79.91,60,上升
智能停车场管理系统覆盖率（%）,98.9,99.1,—,上升
新中心人口密度（万人/平方公里）,0.46,0.55,0.6≤X≤1,上升
新中心林荫路覆盖率（%）,32.15,88.57,85,上升
城市黑臭水体数量（个）,0,0,—,持平
绿道服务半径覆盖率（%）,80.72,80.72,70,持平
历史文化资源遭受破坏的负面事件数（起）,0,0,—,持平
擅自拆除历史文化街区内建筑物、构筑物的数量（栋）,0,0,—,持平
严重易涝积水点数量（个）,0,0,—,持平
应急供水保障率（%）,63.33,63.33,—,持平
建筑施工危险性较大的分部分项工程安全监测覆盖率（%）,100,100,—,持平
高层民用建筑智能化火灾监测预警覆盖率（%）,11.6,11.6,—,持平
城市数字公共基础设施底座平台完成率（%）,100,100,—,持平
新建建筑中绿色建筑占比（%）,63.15,59.02%,—,下降
历史建筑空置率（%）,6.25,29%,—,下降
公交站点覆盖率(%）,90 100,82.87 100,50 90,下降
年度保障性住房占比（%）,59.43,45.70%,—,下降
市政管网管线智能化监测管理率（%）,100,90.37%,30,下降
