指标项,board,task_8,project_type,2025体检值,评价,落位能力
未实施生活垃圾分类的小区数量（个）,民生基础需求,城市生态系统,环境治理,0,——,无法（城区宏观/无空间层·仅总量）
未达标配建的文化活动中心数量（个）,民生基础需求,完整社区,公服设施,——,——,无法（城区宏观/无空间层·仅总量）
存在道路照明问题的道路数量(个),民生基础需求,完整社区,交通设施,39,——,无法（城区宏观/无空间层·仅总量）
需要更新改造的老旧生活街区数量（个）,民生基础需求,城中村/老厂区/老街区,城市更新,2,——,无法（城区宏观/无空间层·仅总量）
城市生活污水集中收集率（%）,民生基础需求,城市生态系统,环境治理,81.06,较好,无法（城区宏观/无空间层·仅总量）
城市黑臭水体数量（个）,民生基础需求,城市生态系统,环境治理,0,很好,无法（城区宏观/无空间层·仅总量）
人均公共文化设施面积（平方米/人）,民生基础需求,城市功能,公服设施,0.31,很好,无法（城区宏观/无空间层·仅总量）
城镇老旧小区改造完成率（%）,民生基础需求,老旧小区,住房,100,很好,无法（城区宏观/无空间层·仅总量）
公交站点覆盖率(%）,民生基础需求,城市功能,交通设施,城市公交站点300米覆盖率为82.87%，500米覆盖率为100%,很好,无法（城区宏观/无空间层·仅总量）
城市生活垃圾资源化利用率（%）,民生基础需求,城市生态系统,环境治理,84.35,很好,无法（城区宏观/无空间层·仅总量）
公厕设置密度(座/平方公里),民生基础需求,完整社区,公服设施,4.1,一般,无法（城区宏观/无空间层·仅总量）
年度保障性住房占比（%）,民生基础需求,城市功能,住房,45.70,很好,无法（城区宏观/无空间层·仅总量）
城中村改造完成率（%）,民生基础需求,城中村/老厂区/老街区,城市更新,100,很好,无法（城区宏观/无空间层·仅总量）
房屋市政工程生产安全事故死亡率（%）,安全韧性底线,城市安全韧性,安全消防,0.29,一般,无法（城区宏观/无空间层·仅总量）
严重易涝积水点数量（个）,安全韧性底线,城市安全韧性,市政管网,0,很好,无法（城区宏观/无空间层·仅总量）
城市排水防涝应急抢险能力（万立方米/小时/平方千米）,安全韧性底线,城市安全韧性,市政管网,0.02,很好,无法（城区宏观/无空间层·仅总量）
应急供水保障率（%）,安全韧性底线,城市安全韧性,市政管网,63.33,很好,无法（城区宏观/无空间层·仅总量）
“平急两用”公共基础设施数量(个),安全韧性底线,城市安全韧性,安全消防,——,——,无法（城区宏观/无空间层·仅总量）
城市危旧桥梁数量（座）,安全韧性底线,城市安全韧性,交通设施,0,很好,无法（城区宏观/无空间层·仅总量）
老旧市政燃气管网年度改造完成率（%）,安全韧性底线,城市安全韧性,市政管网,100,很好,无法（城区宏观/无空间层·仅总量）
城市消防站服务半径覆盖率（%）,安全韧性底线,城市安全韧性,安全消防,20.59,不足,无法（城区宏观/无空间层·仅总量）
人均避难场所有效避难面积(平方米/人),安全韧性底线,城市安全韧性,安全消防,3.36,很好,无法（城区宏观/无空间层·仅总量）
市政管网管线智能化监测管理率（%）,安全韧性底线,城市安全韧性,市政管网,90.37,很好,无法（城区宏观/无空间层·仅总量）
建筑施工危险性较大的分部分项工程安全监测覆盖率（%）,安全韧性底线,城市安全韧性,安全消防,100,很好,无法（城区宏观/无空间层·仅总量）
高层民用建筑智能化火灾监测预警覆盖率（%）,安全韧性底线,城市安全韧性,安全消防,11.6,不足,无法（城区宏观/无空间层·仅总量）
