id_e,scope,source,text,keywords,domain,element,score,polarity,polarity_hint,emotion_intensity,l1_confidence,l2_confidence,emotion_type,category,timestamp,time_label,urban_value,target_type,target_detail,area_tag,zone,has_location,relevance,aspect_primary,aspect_polarity,aspects_json,semantic_target,policy_seed,project_seed,matrix_multi,attribution_confidence,blind_spot,lon,lat
ermawu_T2_00000,ermawu,sim_ermawu_l3l4,文旅复苏，老街活了,文旅活力,urban_operation,事件,0.686,Positive,pos,0.687,0.725,0.745,乐,历史街区,2025-07-13,2025-07 暑假·年轻人涌入打卡,0.696,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,pos,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.827,1,111.284237,30.695067
ermawu_T2_00001,ermawu,sim_ermawu_l3l4,施工快收尾了，忍忍,施工扰民,urban_governance,环境,0.526,Neutral,neu,0.408,0.755,0.828,急,历史街区,2025-07-23,2025-07 暑假·年轻人涌入打卡,0.828,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neu,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.874,0,111.286804,30.694355
ermawu_T2_00002,ermawu,sim_ermawu_l3l4,老味道还在，没变味,烟火气保留,urban_renewal,文化,0.857,Positive,pos,0.327,0.742,0.758,乐,历史街区,2025-07-13,2025-07 暑假·年轻人涌入打卡,0.5,aspect,烟火气保留,ermawu,ermawu,1,1,烟火气保留,pos,"[""烟火气保留""]",烟火气保留,防止大拆大建通知(留改拆·留底线),历史街区保护更新;社区营造,"[[""urban_renewal"", ""文化"", ""主""], [""urban_renewal"", ""环境"", ""次""]]",0.809,0,111.274597,30.695638
ermawu_T2_00003,ermawu,sim_ermawu_l3l4,老建筑修得讲究，最小干预看出功夫,修旧如旧,urban_renewal,文化,0.741,Positive,pos,0.628,0.879,0.737,喜,历史街区,2025-07-24,2025-07 暑假·年轻人涌入打卡,0.89,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.717,0,111.286877,30.696948
ermawu_T2_00004,ermawu,sim_ermawu_l3l4,小众免费出片，本地人私藏,网红打卡,urban_operation,文化,0.713,Positive,pos,0.753,0.85,0.733,乐,历史街区,2025-07-26,2025-07 暑假·年轻人涌入打卡,0.493,aspect,网红打卡,ermawu,ermawu,1,1,网红打卡,pos,"[""网红打卡""]",网红打卡,"城市更新""十五五""规划(文脉保护传承)",文旅IP打造;文化消费场景,"[[""urban_operation"", ""文化"", ""主""], [""urban_operation"", ""事件"", ""次""]]",0.845,0,111.287526,30.69478
ermawu_T2_00005,ermawu,sim_ermawu_l3l4,二马路修旧如旧，百年老街焕发新生,修旧如旧,urban_renewal,文化,0.789,Very Positive,pos,0.31,0.773,0.827,喜,历史街区,2025-07-25,2025-07 暑假·年轻人涌入打卡,0.848,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.82,0,111.274685,30.698447
ermawu_T2_00006,ermawu,sim_ermawu_l3l4,夜经济让老街活了,夜经济,urban_operation,事件,0.825,Very Positive,pos,0.746,0.866,0.783,乐,历史街区,2025-07-15,2025-07 暑假·年轻人涌入打卡,0.495,aspect,夜经济,ermawu,ermawu,1,1,夜经济,pos,"[""夜经济""]",夜经济,"城市更新""十五五""规划(生活圈扩围;夜经济)",一刻钟便民生活圈建设;夜经济品牌培育,"[[""urban_operation"", ""事件"", ""主""], [""urban_governance"", ""事件"", ""次""]]",0.818,1,111.284281,30.696991
ermawu_T2_00007,ermawu,sim_ermawu_l3l4,盼着开街呢，老街改造进度有点慢,文旅活力,urban_operation,事件,0.509,Neutral,neu,0.466,0.935,0.903,急,历史街区,2025-07-06,2025-07 暑假·年轻人涌入打卡,0.674,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neu,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.889,1,111.285474,30.694777
ermawu_T2_00008,ermawu,sim_ermawu_l3l4,烟火气这东西见仁见智,烟火气保留,urban_renewal,文化,0.416,Neutral,neu,0.31,0.887,0.809,急,历史街区,2025-07-28,2025-07 暑假·年轻人涌入打卡,0.484,aspect,烟火气保留,ermawu,ermawu,1,1,烟火气保留,neu,"[""烟火气保留""]",烟火气保留,防止大拆大建通知(留改拆·留底线),历史街区保护更新;社区营造,"[[""urban_renewal"", ""文化"", ""主""], [""urban_renewal"", ""环境"", ""次""]]",0.852,0,111.286256,30.696163
ermawu_T2_00009,ermawu,sim_ermawu_l3l4,周边夜市烟火升腾，烧烤烤鱼小吃全有,夜经济,urban_operation,事件,0.831,Very Positive,pos,0.324,0.762,0.894,喜,历史街区,2025-07-25,2025-07 暑假·年轻人涌入打卡,0.656,aspect,夜经济,ermawu,ermawu,1,1,夜经济,pos,"[""夜经济""]",夜经济,"城市更新""十五五""规划(生活圈扩围;夜经济)",一刻钟便民生活圈建设;夜经济品牌培育,"[[""urban_operation"", ""事件"", ""主""], [""urban_governance"", ""事件"", ""次""]]",0.693,1,111.286442,30.691954
