序号,维度,子维度,指标项,2025体检值,评价,综合分档,指标归属,指标范畴,主题分类,task_8,project_type,board,落位能力
1,住房,安全耐久,存在结构安全隐患的住宅数量（栋）,42,——,——,住建部基础(60),人工排查判定,安全韧性底线,危房,住房,安全韧性底线,精准（栋/小区级·有矢量层）
2,住房,安全耐久,存在燃气安全隐患的住宅数量（栋）,6,——,——,住建部基础(60),人工排查判定,安全韧性底线,城市安全韧性,市政管网,安全韧性底线,精准（栋/小区级·有矢量层）
3,住房,安全耐久,存在楼道安全隐患的住宅数量（栋）,242,——,——,住建部基础(60),人工排查判定,安全韧性底线,城市安全韧性,安全消防,安全韧性底线,精准（栋/小区级·有矢量层）
4,住房,安全耐久,存在围护安全隐患的住宅数量（栋）,454,——,——,住建部基础(60),人工排查判定,安全韧性底线,危房,住房,安全韧性底线,精准（栋/小区级·有矢量层）
5,住房,功能完备,非成套住宅数量（套）,31,——,——,住建部基础(60),人工排查判定,民生基础需求,老旧小区,住房,民生基础需求,精准（栋/小区级·有矢量层）
6,住房,功能完备,存在管线管道破损的住宅数量（栋）,186,——,——,住建部基础(60),人工排查判定,安全韧性底线,城市安全韧性,市政管网,安全韧性底线,精准（栋/小区级·有矢量层）
7,住房,功能完备,需要进行适老化改造的住宅数量（栋）,39,——,——,住建部基础(60),人工排查判定,民生基础需求,老旧小区,住房,民生基础需求,精准（栋/小区级·有矢量层）
8,住房,绿色智能,需要进行节能改造的住宅数量（栋）,0,——,——,住建部基础(60),人工排查判定,民生基础需求,城市功能,住房,其他,无法（城区宏观/无空间层·仅总量）
9,住房,绿色智能,需要进行数字化改造的住宅数量（栋）,25,——,——,住建部基础(60),人工排查判定,民生基础需求,城市功能,住房,其他,精准（栋/小区级·有矢量层）
10,小区（社区）,设施完善,未达标配建养老服务设施的小区数量（个）,2,——,——,住建部基础(60),人工排查判定,民生基础需求,完整社区,公服设施,民生基础需求,精准（栋/小区级·有矢量层）
11,小区（社区）,设施完善,未达标配建婴幼儿照护服务设施的小区数量（个）,34,——,——,住建部基础(60),人工排查判定,民生基础需求,完整社区,公服设施,民生基础需求,精准（栋/小区级·有矢量层）
12,小区（社区）,设施完善,未达标配建幼儿园的小区数量（个）,11,——,——,住建部基础(60),人工排查判定,民生基础需求,完整社区,公服设施,民生基础需求,精准（栋/小区级·有矢量层）
