维度,序号,问题涉及的指标,指标结果,存在问题,整治建议,整治区域,整治类型,责任单位
住房,1,存在结构安全隐患的住宅（栋）,42,（1）共19栋住宅存在混凝土结构构件裂缝，如承重墙体、楼板、结构梁开裂，裂缝肉眼清晰可见，裂缝较深。墙体、楼板裂缝多为贯通状;梁裂缝多集中于梁的底部，呈现多条裂缝的问题（非常严重问题）。西陵区13栋，占比68%；伍家岗区6栋，占比32%。 （2）共24栋住宅存在违规拆除结构承重构件如户内承重墙体拆墙打洞，底商或者地库结构柱拆除，砖混结构拆除阳台承重墙垛的问题（非常严重问题）。西陵区17栋，占比71%；伍家岗区7栋，占比29%。,由专业鉴定机构评估检测问题对建筑整体结构安全的影响，如确实存在安全隐患，需采取相应的方式提升结构整体性与耐久性，满足住宅建筑的安全要求。,42楼栋,限时解决,西陵区 伍家岗区住建局
住房,2,存在燃气安全隐患的住宅（栋）,6,（1）共6栋住宅存在燃气水平管运行年限满20年，且存在锈蚀严重、破损等安全隐患问题。西陵区4栋，占比67%；伍家岗区2栋，占比33%。,由专业燃气检测机构对于问题管线进行评估，对确有问题的管线立即联合燃气公司安排停气等方式进行维护，恢复后需要进行稳定性监测确保无缺陷。,6楼栋,限时解决,西陵区 伍家岗区住建局
住房,3,存在楼道安全隐患的住宅（栋）,242,（1）共80栋住宅存在楼梯间内楼梯踏步缺损、楼梯扶手松动损坏、照明损坏缺失、安全护栏松动损坏或缺失的问题。西陵区65栋，占比81.25%；伍家岗区15栋，占比18.75%。 （2）共12栋住宅存在通风井道、排风烟道等堵塞，造成通风不畅、异味串味的问题。西陵区12栋，占比100%。 （3）共37栋住宅存在消防门缺失、损坏、无法关闭的问题。西陵区20栋，占比54%；伍家岗区17栋，占比46%。 （4）共94栋住宅存在高层住宅消火栓缺失或无水、无日常维护，老化损坏的问题。西陵区69栋，占比73%；伍家岗区25栋，占比27%。 （5）共13栋住宅存在灭火器缺失、未设置灭火器保护设施的问题。西陵区10栋，占比77%；伍家岗区3栋，占比23%。 （6）共30栋住宅存在消防安全出口指示灯损坏或者缺失的问题。西陵区11栋，占比37%；伍家岗区19栋，占比63%。 （7）共42栋住宅存在住户占用消防楼梯、楼道、管道井等公共空间，用于堆放杂物的问题。西陵区40栋，占比95%；伍家岗区2栋，占比5%。 （8）共40栋住宅存在公共楼道停放自行车、电动自行车以及违规充电的问题。西陵区32栋，占比80%；伍家岗区8栋，占比20%。,组织物业、居民联合消防部门定位问题点，对于楼梯破损、消防设施、疏散系统、楼道治理进行对应整改，并在改正后进行物业常态化监管。,242楼栋,尽力解决,西陵区 伍家岗区住建局
住房,4,存在围护安全隐患的住宅（栋）,454,（1）共43栋住宅存在外墙装饰材料和保温材料开裂、损坏、脱落（无隐患）的问题。西陵区35栋，占比81%；伍家岗区8栋，占比19%。 （2）共136栋住宅存在外墙装饰材料和保温材料开裂、损坏、脱落(有隐患，损坏或脱落面积10平方米以下)的问题。西陵区115栋，占比85%；伍家岗区21栋，占比15%。 （3）共55栋住宅存在外墙装饰材料和保温材料开裂、损坏、脱落(隐患较大，损坏或脱落面积10至30平方米)的问题。西陵区50栋，占比91%；伍家岗区5栋，占比9%。 （4）共62栋住宅存在外墙装饰材料和保温材料开裂、损坏、脱落(隐患严重，损坏或脱落面积30平方米以上)的问题。西陵区49栋，占比79%；伍家岗区13栋，占比21%。 （5）共9栋住宅存在门窗玻璃存在破损、脱落等情况的问题。西陵区9栋，占比100%。 （6）共245栋住宅存在屋面排水不畅、漏水的问题。西陵区207栋，占比84%；伍家岗区38栋，占比16%。 （7）共152栋住宅存在外墙内侧、地下室渗水漏水的问题。西陵区128栋，占比84%；伍家岗区24栋，占比16%。,由专业检测机构评估问题状况，根据问题程度采取分级整治措施，修复建筑围护隐患，保证建筑外围的安全性与耐久性。,454楼栋,尽力解决,西陵区 伍家岗区住建局
住房,5,非成套住宅（套）,31,（1）共15套住宅存在没有独立厨房的问题。西陵区15栋，占比100%。 （2）共31套住宅存在没有独立卫生间的问题。西陵区31栋，占比100%。,由专业施工单位核查住宅承重结构与楼板荷载、布管条件，对于有改建条件住宅征集居民意见设计改造方式，并对后续可能出现的问题进行监测评估。,31套,尽力解决,西陵区 伍家岗区住建局
住房,6,存在管线管道破损的住宅（栋）,186,（1）共157栋住宅存在给水管线跑冒滴漏、排水管线老化破损、渗漏堵塞的问题。西陵区142栋，占比90%；伍家岗区15栋，占比10%。 （2）共56栋住宅存在电力电信管线老化破损及裸露、私搭乱接问题。西陵52栋，占比93%；伍家岗4栋，占比7%。 （3）共1栋住宅存在因供暖管道漏水、压力不足等原因导致采暖季温度不达标的问题。西陵区1栋，占比100%。,由区住建局组织专业的设施评估，对于有问题的管线进行更换与维护，组织物业联合电力公司对于小区电路进行整改。,186楼栋,尽力解决,西陵区 伍家岗区住建局
住房,7,需要进行适老化改造的住宅（栋）,39,（1）共29栋住宅存在多层住宅中建成时未安装电梯，具备加装电梯条件但尚未进行加装改造（是否具备加装条件根据当地相关要求判定）的问题。西陵区21栋，占比72%；伍家岗区8栋，占比28%。 （2）共5栋住宅存在住宅单元出入口和通道未进行无障碍改造、地面防滑处理的问题。西陵区2栋，占比40%；伍家岗区3栋，占比60%。 （3）共3栋住宅存在多层无电梯住宅楼梯间未沿墙加装扶手的问题。西陵区3栋，占比100%。 （4）共3栋住宅存在纳入分散供养特困人员和建档立卡贫困人口范围的高龄、失能、残疾老年人等特殊困难老年人家庭未实施适老化改造的问题。西陵区3栋，占比100%。,由专业工程技术公司核查建筑情况后，按照民政部门的相应规范对于住宅实施相应的适老化改造与设施维护。,39楼栋,尽力解决,西陵区 伍家岗区住建局
住房,8,需要进行数字化改造的住宅数量（栋）,25,（1）共8栋住宅存在住宅公共空间未安装楼宇入侵报警、视频监控等安防检测设备的问题。西陵区2栋，占比25%；伍家岗区6栋，占比75%。 （2）共13栋住宅存在高层住宅的楼梯间、走道、候梯厅、门厅等公共部位未安装烟感报警器的问题。西陵区7栋，占比54%；伍家岗区6栋，占比46%。 （3）共15栋住宅存在未安装家庭健康紧急呼叫系统，无法保障有需要的居家老年人、残疾人安装一键紧急呼叫、安全监护无感化监测等智能产品的问题。西陵区15栋，占比100%。,由专业机构评估住宅楼栋相应设施的安装条件，对于有安装条件和需求的楼栋家庭进行网络、安防、消防与健康系统的配备。,25楼栋,尽力解决,西陵区 伍家岗区住建局
小区（社区）,1,未达标配建养老服务设施的小区数量（个）,2,社区养老服务基础设施配建不足；居家养老服务供给存在短板。,1.利用社区闲置空间转化为老年人日间照料中心。 2.强化现有社区养老服务能力。 3.提升小区内养老与社区养老设施的服务质量，辅助老年人居家养老。,2个社区,尽力解决,西陵区民政局
小区（社区）,2,未达标配建婴幼儿照护服务设施的小区数量（个）,34,社区婴幼儿照护服务体系配置与服务质量存在短板，设施规划建设不达标；现状需求不足，导致设施运营困难。,1.增补社区婴幼儿照护服务体系，提升社区服务质量。 2.完善既有社区的幼儿照护服务设施配置。,34个小区,尽力解决,西陵区 伍家岗区住建局
