id_e,scope,source,text,keywords,domain,element,score,polarity,polarity_hint,emotion_intensity,l1_confidence,l2_confidence,emotion_type,category,timestamp,time_label,urban_value,target_type,target_detail,area_tag,zone,has_location,relevance,aspect_primary,aspect_polarity,aspects_json,semantic_target,policy_seed,project_seed,matrix_multi,attribution_confidence,blind_spot,lon,lat
ermawu_T3_00000,ermawu,sim_ermawu_l3l4,老建筑修得讲究，最小干预看出功夫,修旧如旧,urban_renewal,文化,0.933,Very Positive,pos,0.338,0.824,0.882,喜,历史街区,2026-05-02,2026-05 五一·大南门建成文旅爆满,0.7,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.849,0,111.282456,30.696922
ermawu_T3_00001,ermawu,sim_ermawu_l3l4,打卡墙前要排队,网红打卡,urban_operation,文化,0.538,Neutral,neu,0.798,0.831,0.827,急,历史街区,2026-05-03,2026-05 五一·大南门建成文旅爆满,0.883,aspect,网红打卡,ermawu,ermawu,1,1,网红打卡,neu,"[""网红打卡""]",网红打卡,"城市更新""十五五""规划(文脉保护传承)",文旅IP打造;文化消费场景,"[[""urban_operation"", ""文化"", ""主""], [""urban_operation"", ""事件"", ""次""]]",0.753,0,111.28013,30.693682
ermawu_T3_00002,ermawu,sim_ermawu_l3l4,二马路成了网红打卡地，年轻人多,网红打卡,urban_operation,文化,0.717,Very Positive,pos,0.626,0.927,0.873,喜,历史街区,2026-05-01,2026-05 五一·大南门建成文旅爆满,0.684,aspect,网红打卡,ermawu,ermawu,1,1,网红打卡,pos,"[""网红打卡""]",网红打卡,"城市更新""十五五""规划(文脉保护传承)",文旅IP打造;文化消费场景,"[[""urban_operation"", ""文化"", ""主""], [""urban_operation"", ""事件"", ""次""]]",0.945,0,111.273177,30.697497
ermawu_T3_00003,ermawu,sim_ermawu_l3l4,开街后人气回来了，热闹得像过年,文旅活力,urban_operation,事件,0.896,Very Positive,pos,0.609,0.854,0.772,乐,历史街区,2026-05-05,2026-05 五一·大南门建成文旅爆满,0.671,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,pos,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.82,1,111.285659,30.690911
ermawu_T3_00004,ermawu,sim_ermawu_l3l4,回迁政策还在等落实,回迁安置,urban_renewal,服务,0.557,Neutral,neu,0.747,0.736,0.843,急,历史街区,2026-05-06,2026-05 五一·大南门建成文旅爆满,0.726,aspect,回迁安置,ermawu,ermawu,1,1,回迁安置,neu,"[""回迁安置""]",回迁安置,防止大拆大建通知(不大规模搬迁原住民),回迁安置;原住民保留,"[[""urban_renewal"", ""服务"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.949,0,111.27914,30.699131
ermawu_T3_00005,ermawu,sim_ermawu_l3l4,烟火气这东西见仁见智,烟火气保留,urban_renewal,文化,0.413,Neutral,neu,0.393,0.863,0.745,盼,历史街区,2026-05-01,2026-05 五一·大南门建成文旅爆满,0.858,aspect,烟火气保留,ermawu,ermawu,1,1,烟火气保留,neu,"[""烟火气保留""]",烟火气保留,防止大拆大建通知(留改拆·留底线),历史街区保护更新;社区营造,"[[""urban_renewal"", ""文化"", ""主""], [""urban_renewal"", ""环境"", ""次""]]",0.758,0,111.272226,30.699856
ermawu_T3_00006,ermawu,sim_ermawu_l3l4,开街后人气回来了，热闹得像过年,文旅活力,urban_operation,事件,0.873,Very Positive,pos,0.513,0.933,0.882,乐,历史街区,2026-05-03,2026-05 五一·大南门建成文旅爆满,0.495,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,pos,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.904,1,111.284055,30.69486
ermawu_T3_00007,ermawu,sim_ermawu_l3l4,业态都同质化了，走哪都一样,业态丰富度,urban_operation,服务,0.377,Very Negative,neg,0.765,0.945,0.902,愁,历史街区,2026-05-02,2026-05 五一·大南门建成文旅爆满,0.65,aspect,业态丰富度,ermawu,ermawu,1,1,业态丰富度,neg,"[""业态丰富度""]",业态丰富度,关于持续推进城市更新行动的意见(业态引导),业态多元化引导;业态调整,"[[""urban_operation"", ""服务"", ""主""], [""urban_renewal"", ""服务"", ""次""]]",0.815,0,111.274941,30.695411
ermawu_T3_00008,ermawu,sim_ermawu_l3l4,不大规模搬迁是对的，老街坊还在,回迁安置,urban_renewal,服务,0.944,Positive,pos,0.455,0.818,0.832,喜,历史街区,2026-05-05,2026-05 五一·大南门建成文旅爆满,0.735,aspect,回迁安置,ermawu,ermawu,1,1,回迁安置,pos,"[""回迁安置""]",回迁安置,防止大拆大建通知(不大规模搬迁原住民),回迁安置;原住民保留,"[[""urban_renewal"", ""服务"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.845,0,111.280384,30.694072
ermawu_T3_00009,ermawu,sim_ermawu_l3l4,回迁满意，原样回来住着踏实,回迁安置,urban_renewal,服务,0.955,Very Positive,pos,0.304,0.822,0.829,乐,历史街区,2026-05-05,2026-05 五一·大南门建成文旅爆满,0.654,aspect,回迁安置,ermawu,ermawu,1,1,回迁安置,pos,"[""回迁安置""]",回迁安置,防止大拆大建通知(不大规模搬迁原住民),回迁安置;原住民保留,"[[""urban_renewal"", ""服务"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.745,0,111.287217,30.694177
