维度,子维度,序号,指标项,体检内容,2025体检指标标值,2025年评价结果,综合分档
住房,安全耐久,1,存在结构安全隐患的住宅数量（栋）,依托第一次全国自然灾害综合风险普查房屋建筑和市政设施调查数据成果，对住宅结构安全状况进行初步筛查，查找住宅的结构安全问题。,42,——,——
住房,安全耐久,2,存在燃气安全隐患的住宅数量（栋）,查找既有住宅中运行年限满 20 年、经评估存在安全隐患的立管(含引入管、水平管)。,6,——,——
住房,安全耐久,3,存在楼道安全隐患的住宅数量（栋）,查找既有住宅中楼梯踏步、扶手、照明、安全护栏等设施损坏，通风井道堵塞、排风烟道堵塞或倒风串味，消防门损坏或无法关闭、高层住宅消火栓缺失或无水、灭火器缺失、安全出口或疏散出口指示灯损坏，以及占用消防楼梯楼道、管道井堆放杂物，公共楼道停放自行车、电动自行车以及违规充电等问题。,242,——,——
住房,安全耐久,4,存在围护安全隐患的住宅数量（栋）,查找既有住宅中存在外墙保温材料、装饰材料、悬挂设施、门窗玻璃等破损、脱落等安全风险，以及存在屋顶、外墙、地下室渗漏积水等问题。,454,——,——
住房,功能完备,5,非成套住宅数量（套）,按照《住宅性能评定标准》要求，调查既有住宅中没有厨房、卫生间等基本功能空问的情况。,31,——,——
住房,功能完备,6,存在管线管道破损的住宅数量（栋）,查找既有住宅中给水、排水、供热、供电、通信等管线管道和设施设备老化破损、跑冒滴漏、供给不足、管道堵塞等问题。,186,——,——
住房,功能完备,7,需要进行适老化改造的住宅数量（栋）,查找建成时未安装电梯的多层住宅中具备加装电梯条件、但尚未加装改造的问题。具备条件的，可按照《无障碍设计规范》、既有住宅适老化改造相关标准要求，查找住宅出入口、门厅等公用区域以及住宅户内适老设施建设短板。,39,——,——
住房,绿色智能,8,需要进行节能改造的住宅数量（栋）,按照《城乡建设领域碳达峰实施方案》要求，查找 2000年以前建设的既有住宅中具备节能改造价值但尚未进行节能改造的住宅数量。,0,——,——
住房,绿色智能,9,需要进行数字化改造的住宅数量（栋）,按照住房和城乡建设部等部门《关于加快发展数字家庭 提高居住品质的指导意见》要求，查找既有住宅中网络基础设施、安防监测设备、高层住宅烟雾报警器等智能产品设置存在的问题。针对有需要的老年人、残疾人家庭，查找在健康管理、紧急呼叫等智能产品设置方面存在的问题。,25,——,——
小区（社区）,设施完善,10,未达标配建养老服务设施的小区数量（个）,按照《社区老年人日间照料中心建设标准》《完整居住社区建设标准（试行）》等要求，查找养老服务设施配建缺失，以及生活照料、康复护理、助餐助行、上门照护、文化娱乐等养老服务不健全的问题。,2,——,——
小区（社区）,设施完善,11,未达标配建婴幼儿照护服务设施的小区数量（个）,按照《托育机构设置标准（试行）》《完整居住社区建设标准（试行）》等要求，结合实际需求，查找婴幼儿照护服务设施配建缺失，以及对婴幼儿早期发展指导等照护服务不到位的问题。,34,——,——
小区（社区）,设施完善,12,未达标配建幼儿园的小区数量（个）,按照《幼儿园建设标准》《完整居住社区建设标准（试行）》等要求，查找幼儿园配建缺失以及普惠性学前教育服务不到位的问题。,11,——,——
小区（社区）,设施完善,13,小学学位缺口数（个）,以小学500米服务半径覆盖范围为原则，查找小学学位供给与适龄儿童就近入学需求方面的差距和不足。,7482,——,——
小区（社区）,设施完善,14,停车泊位缺口数（个）,按照《城市停车规划规范》《完整居住社区建设标准（试行）》等要求，查找现有停车泊位与小区居民停车需求的差距，以及停车占用消防通道等方面的问题。,2.99万,——,——
小区（社区）,设施完善,15,新能源汽车充电桩缺口数（个）,按照《电动汽车分散充电设施工程技术标准》《完整居住社区建设标准（试行）》等要求，查找现有充电桩供给能力与小区居民新能源汽车充电需求的差距，以及充电桩在安装、使用运维过程中存在的问题。,1595,——,——
小区（社区）,设施完善,16,未配建电动自行车充电设施的小区数量（个）,按照国务院安委办《加强电动自行车全链条安全监管重点工作任务及分工方案》要求，查找未配建电动自行车集中室外充电设施和停放场所，以及乱拉飞线充电、消防安全管理不到位等问题。,50,——,——
小区（社区）,环境宜居,17,未达标配建公共活动场地的小区数量（个）,按照《城市居住区规划设计标准》《完整居住社区建设标准（试行）》等要求，查找公共活动场地、公共绿地面积不达标，配套的儿童娱乐、老年活动、体育健身等设施设备不充足或破损，不符合无障碍设计要求，以及存在私搭乱建等问题。,27,——,——
小区（社区）,环境宜居,18,不达标的步行道长度（千米）,按照《建筑与市政工程无障碍通用规范》《完整居住社区建设标准（试行）》等要求，查找人行道路面破损、宽度不足、雨后积水、夜间照明不足、铺装不防滑，不能联贯住宅和各类服务设施，以及不符合无障碍设计要求等问题。,2.09,——,——
小区（社区）,环境宜居,19,未实施生活垃圾分类的小区数量（个）,按照住房和城乡建设部等部门《关于进一步推进生活垃圾分类工作的若干意见》要求，查找没有实行垃圾分类制度，未建立分类投放、分类收集、分类运输、分类处理系统等方面的问题。,0,——,——
小区（社区）,管理健全,20,未实施物业管理的小区数量（个）,按照住房和城乡建设部等部门《关于加强和改进住宅物业管理工作的通知》要求，查找未实行小区物业管理，未建立所在街办党(工)委统协调，相关部门联动执法，协调解决物业管理问题的工作机制，未建立矛盾纠纷调解机制等问题。,273,——,——
